user_id,Group
23557,Hotel meal group
94883,Checked bag group
101486,Checked bag group
101961,Checked bag group
106907,Checked bag group
118043,Hotel meal group
120851,Free Cancellation group
125845,Exclusive discounts group
133058,Free Cancellation group
149058,Exclusive discounts group
152583,Free Cancellation group
153982,Checked bag group
160754,Checked bag group
164522,Free Cancellation group
167852,Free Cancellation group
171470,Free Cancellation group
174997,Free Cancellation group
175032,Hotel meal group
181157,Checked bag group
182191,Free Cancellation group
187212,Checked bag group
189676,Hotel meal group
190866,Checked bag group
195192,Free Cancellation group
204943,Checked bag group
204997,Free Cancellation group
205044,Exclusive discounts group
206011,Checked bag group
216796,Free Cancellation group
217114,Free Cancellation group
217136,Hotel meal group
220725,Free Cancellation group
224996,Free Cancellation group
226367,Checked bag group
228195,Free Cancellation group
228872,Hotel meal group
229009,Exclusive discounts group
229108,Free Cancellation group
229330,Checked bag group
232647,Free Cancellation group
249521,Hotel meal group
252835,Checked bag group
258451,Hotel meal group
264470,Exclusive discounts group
276512,Free Cancellation group
281952,Hotel meal group
283325,Exclusive discounts group
290123,Checked bag group
297546,Checked bag group
298253,Free Cancellation group
299476,Free Cancellation group
306165,Free Cancellation group
306819,Checked bag group
312488,Free Cancellation group
313724,Checked bag group
316527,Exclusive discounts group
317688,Checked bag group
322867,Checked bag group
324191,Checked bag group
328590,Hotel meal group
330764,Checked bag group
330893,Checked bag group
331039,Hotel meal group
334787,Checked bag group
337227,Free Cancellation group
338086,Hotel meal group
340166,Hotel meal group
343928,Exclusive discounts group
347778,Checked bag group
348817,Hotel meal group
348863,Free Cancellation group
349132,Hotel meal group
350648,Free Cancellation group
353271,Free Cancellation group
353694,Checked bag group
354050,Exclusive discounts group
354260,Free Cancellation group
354311,Free Cancellation group
354950,Free Cancellation group
356046,Checked bag group
357737,Hotel meal group
359072,Checked bag group
359080,Checked bag group
359653,Hotel meal group
361459,Free Cancellation group
361759,Hotel meal group
363535,Checked bag group
365825,Checked bag group
371201,Free Cancellation group
372970,Free Cancellation group
373489,Checked bag group
374331,Free Cancellation group
374340,Free Cancellation group
374341,Hotel meal group
375160,Free Cancellation group
375729,Exclusive discounts group
375751,Checked bag group
376159,Hotel meal group
377069,Free Cancellation group
377411,Exclusive discounts group
378565,Hotel meal group
379543,Checked bag group
380434,Exclusive discounts group
380436,Checked bag group
380757,Checked bag group
380874,Hotel meal group
380949,Hotel meal group
381259,Free Cancellation group
381465,Checked bag group
382181,Checked bag group
382384,Checked bag group
382533,Free Cancellation group
385689,Exclusive discounts group
386255,Hotel meal group
386469,Free Cancellation group
386914,Hotel meal group
387282,Hotel meal group
387783,Hotel meal group
388328,Hotel meal group
388767,Free Cancellation group
388947,Checked bag group
389434,Exclusive discounts group
389662,Checked bag group
389759,Exclusive discounts group
390811,Checked bag group
392453,Free Cancellation group
395202,Hotel meal group
395981,Exclusive discounts group
396552,Checked bag group
399137,Hotel meal group
399218,Checked bag group
399799,Checked bag group
400275,Exclusive discounts group
400582,Checked bag group
400899,Checked bag group
401245,Exclusive discounts group
402332,Hotel meal group
402978,Checked bag group
403881,Checked bag group
404879,Checked bag group
405305,Hotel night group
406210,Free Cancellation group
407118,Exclusive discounts group
407250,Checked bag group
407275,Checked bag group
407434,Hotel meal group
407642,Checked bag group
408551,Checked bag group
409073,Checked bag group
411179,Free Cancellation group
411701,Free Cancellation group
413128,Exclusive discounts group
413340,Checked bag group
413418,Checked bag group
413658,Free Cancellation group
414128,Hotel meal group
415282,Free Cancellation group
415381,Checked bag group
415581,Checked bag group
416319,Checked bag group
416580,Hotel meal group
417679,Hotel meal group
418329,Checked bag group
418488,Checked bag group
418692,Hotel meal group
420648,Exclusive discounts group
420669,Free Cancellation group
421247,Checked bag group
421515,Hotel meal group
421666,Free Cancellation group
421700,Exclusive discounts group
421870,Exclusive discounts group
422066,Checked bag group
422668,Free Cancellation group
423042,Checked bag group
423413,Hotel meal group
424553,Hotel meal group
